SnapshotNumber,Time_Gyr,Redshift,ExpansionFactor,VirialRadius_ckpc,VirialMass_1E10Msun,LookbackTime_Gyr,MainHaloIdx,MainSubhaloIdx,VirialRadius00_ckpc,VirialMass00_1E10Msun,ReferencePotential_(km/s)^2
0,0.0525742,46.7730473,0.0209323,,,13.7679556,0,0,,,
1,0.0564469,44.5622038,0.021948,,,13.7640829,0,0,,,
2,0.0606048,42.4536738,0.023013,,,13.759925,0,0,,,
3,0.0646081,40.6395569,0.0240156,,,13.7559217,0,0,,,
4,0.0693672,38.7125594,0.025181,,,13.7511626,0,0,,,
5,0.0744768,36.8747395,0.0264028,,,13.746053,0,0,,,
6,0.0799628,35.1219704,0.027684,,,13.740567,0,0,,,
7,0.0852449,33.6139397,0.0288901,,,13.7352849,0,0,,,
8,0.091524,32.012074,0.0302919,,,13.7290058,0,0,,,
9,0.0982656,30.4843396,0.0317618,,,13.7222642,0,0,,,
10,0.1055038,29.0273057,0.033303,,,13.715026,0,0,,,
11,0.1132751,27.6377005,0.034919,,,13.7072547,0,0,,,
12,0.1207575,26.4421253,0.0364403,,,13.6997723,0,0,,,
13,0.1296523,25.1721572,0.0382085,,,13.6908775,0,0,,,
14,0.1392022,23.9609608,0.0400626,,,13.6813276,0,0,,,
15,0.1494555,22.8058162,0.0420065,,,13.6710743,0,0,,,
16,0.1593275,21.8119639,0.0438366,,,13.6612023,0,0,,,
17,0.171063,20.7562707,0.0459638,,,13.6494668,0,0,,,
18,0.1836627,19.7494329,0.0481941,,,13.6368671,0,0,,,
19,0.1971903,18.7891896,0.0505326,,,13.6233395,0,0,,,
20,0.2102148,17.9630246,0.0527342,,,13.610315,0,0,,,
21,0.2256976,17.0854528,0.0552931,,,13.5948322,0,0,,,
22,0.2423204,16.2484933,0.0579761,,,13.5782094,0,0,,,
23,0.2601672,15.4502666,0.0607893,,,13.5603626,0,0,,,
24,0.27735,14.763496,0.0634377,,,13.5431798,0,0,,,
25,0.2977756,14.0339921,0.0665159,,,13.5227542,0,0,,,
26,0.3197047,13.3382483,0.0697435,,,13.5008251,0,0,,,
27,0.343248,12.6747021,0.0731277,,,13.4772818,0,0,,,
28,0.3685238,12.0418635,0.0766762,,,13.452006,0,0,,,
29,0.3928584,11.497388,0.0800167,,,13.4276714,0,0,,,
30,0.4217845,10.9190332,0.0838994,48.951,0.3849544,13.3987453,0,0,48.951,0.3849544,20442.9453125
31,0.4528384,10.3674436,0.0879705,29.374,0.0832055,13.3676914,0,0,29.374,0.0832055,15472.6416015625
32,0.4861761,9.8413804,0.0922392,36.131,0.1548721,13.3343537,0,0,36.131,0.1548721,16537.998046875
33,0.5182708,9.3887713,0.0962578,43.469,0.2697386,13.302259,0,0,43.469,0.2697386,16143.4228515625
34,0.5564189,8.9079992,0.1009286,47.535,0.3529016,13.2641109,0,0,47.535,0.3529016,14984.9033203125
35,0.5973702,8.4494763,0.105826,55.707,0.5680626,13.2231596,0,0,55.707,0.5680626,15301.8076171875
36,0.6413298,8.0121729,0.110961,68.466,1.0550718,13.1792,0,0,68.466,1.0550718,14973.0751953125
37,0.6885171,7.5951071,0.1163453,74.253,1.3465927,13.1320127,0,0,74.253,1.3465927,13750.078125
38,0.7339396,7.2362761,0.1214141,77.919,1.5567775,13.0865902,0,0,77.919,1.5567775,14876.97265625
39,0.7879218,6.8551173,0.1273055,81.253,1.7663355,13.032608,0,0,81.253,1.7663355,12727.7998046875
40,0.8458613,6.4915977,0.1334829,91.394,2.515592,12.9746685,0,0,91.394,2.515592,11272.916015625
41,0.908045,6.1449012,0.1399599,95.573,2.879165,12.9124848,0,0,95.573,2.879165,9808.361328125
42,0.9678925,5.8466137,0.1460576,97.438,3.053349,12.8526373,0,0,97.438,3.053349,8627.8408203125
43,1.0390037,5.5297658,0.1531448,97.685,3.080006,12.7815261,0,0,97.685,3.080006,6523.84716796875
44,1.1153094,5.227581,0.160576,96.406,2.9642029,12.7052204,0,0,96.406,2.9642029,6742.22314453125
45,1.1971819,4.9393807,0.1683677,104.432,3.7734266,12.6233479,0,0,104.432,3.7734266,3742.53662109375
46,1.2850184,4.6645177,0.1765375,101.641,3.4841623,12.5355114,0,0,101.641,3.4841623,3688.05078125
47,1.3695202,4.4280337,0.1842288,103.578,3.6938595,12.4510096,0,0,103.578,3.6938595,5080.41455078125
48,1.4698785,4.1768349,0.1931682,108.343,4.2359003,12.3506513,0,0,108.343,4.2359003,3359.963134765625
49,1.5775065,3.9372611,0.2025414,112.307,4.7299565,12.2430233,0,0,112.307,4.7299565,4298.619140625
50,1.692911,3.7087743,0.2123695,130.092,7.3716245,12.1276188,0,0,130.092,7.3716245,-1791.732421875
51,1.8166298,3.4908614,0.2226744,140.83,9.3831991,12.0039,0,0,140.83,9.3831991,-3651.8662109375
52,1.9492319,3.2830331,0.2334794,163.634,14.7738435,11.8712979,0,0,163.634,14.7738435,-22595.34375
53,2.0913186,3.0848226,0.2448087,172.313,17.3239802,11.7292112,0,0,172.313,17.3239802,-7225.20947265625
54,2.2435237,2.895785,0.2566877,178.766,19.4395639,11.5770061,0,0,178.766,19.4395639,-1821.2470703125
55,2.3897091,2.7331426,0.2678708,179.686,19.8409064,11.4308207,0,0,179.686,19.8409064,-2893.153564453125
56,2.5451363,2.5772903,0.2795412,185.153,21.8306929,11.2753935,0,0,185.153,21.8306929,-7221.8095703125
57,2.6914781,2.4442257,0.290341,210.935,32.4582835,11.1290517,0,0,210.935,32.4582835,-14602.0849609375
58,2.8459209,2.3161107,0.3015581,215.997,35.0740784,10.9746089,0,0,215.997,35.0740784,-13561.8427734375
59,2.9880126,2.2079255,0.3117279,218.312,36.4366492,10.8325172,0,0,218.312,36.4366492,-15374.3115234375
60,3.1368773,2.1032697,0.3222408,220.385,37.7315664,10.6836525,0,0,220.385,37.7315664,-21127.50390625
61,3.2927893,2.0020281,0.3331081,218.498,37.0437866,10.5277405,0,0,218.498,37.0437866,-14388.0576171875
62,3.4560273,1.9040895,0.344342,215.525,35.8366829,10.3645025,0,0,215.525,35.8366829,-11661.7998046875
63,3.6019898,1.8226893,0.3542721,215.244,35.9656632,10.21854,0,0,215.244,35.9656632,-12061.921875
64,3.7537196,1.7435706,0.3644885,215.532,36.4040354,10.0668102,0,0,215.532,36.4040354,-14850.345703125
65,3.9113954,1.6666696,0.3749996,217.293,37.6322193,9.9091344,0,0,217.293,37.6322193,-19756.8046875
66,4.0474627,1.6042345,0.38399,220.554,39.6574706,9.7730671,0,0,220.554,39.6574706,-23387.634765625
67,4.2165016,1.531239,0.3950634,228.586,44.5993583,9.6040282,0,0,228.586,44.5993583,-15035.353515625
68,4.3622849,1.4719748,0.4045349,232.652,47.4457715,9.4582449,0,0,232.652,47.4457715,-14234.33984375
69,4.5126456,1.4140982,0.4142334,243.83,55.1337796,9.3078842,0,0,243.83,55.1337796,-18340.80078125
70,4.6676818,1.3575767,0.4241644,253.384,62.501065,9.152848,0,0,253.384,62.501065,-14405.09375
