Snapshot,Time_Gyr,Redshift,ExpansionFactor,Mass_Msun,Mass_H_Msun,Mass_B_Msun,Mass_CD_Msun,Mass_WD_Msun
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
30.0,0.4217845366394565,10.919033198155363,0.08389942232519026,1158433.125,0.0,992334.875,72372.71875,93725.546875
31.0,0.4528384166734556,10.367443572408746,0.08797052684978504,2128624.5,478763.96875,1100605.75,51326.05859375,497928.6875
32.0,0.48617612343955924,9.841380439471834,0.09223917614394847,2888733.5,169502.921875,1637982.0,372966.0,708282.3125
33.0,0.5182708119307342,9.388771271940549,0.09625777426642748,5190271.5,150889.203125,4251556.5,242135.53125,545690.4375
34.0,0.5564188833159369,8.907999185598532,0.1009285508878038,9573936.0,639835.0625,5098722.0,1500599.875,2334777.75
35.0,0.5973702376945801,8.449476294368743,0.10582597054568338,13794056.0,255951.71875,8948502.0,1455549.625,3134052.75
36.0,0.6413297674084788,8.012172948865935,0.11096103078290759,11232150.0,4015232.0,4965003.0,777239.9375,1474674.875
37.0,0.6885170787669509,7.5951071498715965,0.11634526278301709,15358394.0,2226938.75,9931388.0,1049941.75,2150125.0
38.0,0.7339395587876801,7.23627606616736,0.1214140944240273,27206032.0,3131509.25,14382972.0,3011621.75,6679929.0
39.0,0.787921774026992,6.855117262650799,0.12730554701643482,49819016.0,2856183.25,31552232.0,4056455.0,11354148.0
40.0,0.8458612530579325,6.491597745667503,0.1334828742744916,80008952.0,19346338.0,54187632.0,1134031.125,5340952.5
41.0,0.9080449696290195,6.144901203416368,0.13995994787469493,109135928.0,15389160.0,67879592.0,7711858.5,18155312.0
42.0,0.9678924784861273,5.846613747881867,0.14605760406878063,128584064.0,13545084.0,85679896.0,8294365.0,21064712.0
43.0,1.0390037466243902,5.5297658079491026,0.15314484920464314,143618944.0,11368512.0,96767248.0,10839389.0,24643796.0
44.0,1.115309430693374,5.227580973127337,0.1605759932010687,176063936.0,16257430.0,110680872.0,13048520.0,36077116.0
45.0,1.197181863756146,4.939380663491011,0.1683677232791182,373752800.0,40162920.0,153601664.0,63177808.0,116810384.0
46.0,1.2850184010331818,4.664517702470927,0.1765375363843931,559233280.0,30102824.0,304639936.0,85637872.0,138852672.0
47.0,1.3695201902147043,4.428033736605549,0.18422877390319162,730780736.0,80696976.0,412422784.0,75149024.0,162511968.0
48.0,1.469878490582777,4.176834914726472,0.19316822276007173,908096000.0,147689376.0,540109824.0,61798892.0,158497888.0
49.0,1.577506484958674,3.9372610847275835,0.20254144612552438,1158248320.0,140913216.0,799731840.0,62701156.0,154902160.0
50.0,1.6929110344480442,3.7087742646422353,0.21236949231329916,1419825024.0,240318320.0,795462272.0,101966872.0,282077568.0
