SnapshotNumber,Time_Gyr,LookbackTime_Gyr,Redshift,ExpansionFactor,VirialRadius_ckpc,VirialMass_1E10Msun
0,0.05257420694390674,13.767955592219742,46.77304730532048,0.020932305063332858,,
1,0.05644686607335026,13.764082933090299,44.5622037875765,0.021948016488892295,,
2,0.060604783565944904,13.759925015597705,42.45367379881284,0.023013013919833868,,
3,0.06460813920762512,13.755921659956025,40.639556931125924,0.024015625374065677,,
4,0.06936720898805346,13.751162590175596,38.71255939348594,0.025180950693498495,,
5,0.07447682531631586,13.746052973847334,36.87473954609402,0.026402821827539905,,
6,0.07996280681807971,13.74056699234557,35.12197041925631,0.027683982584374985,,
7,0.08524485123604453,13.735284947927605,33.61393967978289,0.028890094836100794,,
8,0.09152397819379612,13.729005820969853,32.012074015330995,0.030291947108067017,,
9,0.09826560419888632,13.722264194964763,30.48433957173081,0.031761822340967284,,
10,0.10550379040924025,13.715026008754409,29.027305700565993,0.03330302125578822,,
11,0.11327510527286286,13.707254693890787,27.63770051714242,0.03491900473648028,,
12,0.12075750329840516,13.699772295865245,26.442125298337018,0.03644032629136781,,
13,0.1296523076938389,13.690877491469811,25.172157225310418,0.038208543200746396,,
14,0.1392022300261748,13.681327569137474,23.960960799485814,0.040062560413163244,,
15,0.14945550683208045,13.67107429233157,22.805816183578962,0.04200654127077529,,
16,0.15932754677045352,13.661202252393196,21.811963905687907,0.0438366466006314,,
17,0.1710630064891351,13.649466792674515,20.756270677546635,0.0459637598199236,,
18,0.1836627196673955,13.636867079496254,19.749432874416154,0.04819408829399815,,
19,0.19719030166340928,13.62333949750024,18.78918956244812,0.05053264040168657,,
20,0.21021479315809666,13.610315006005553,17.963024604582767,0.052734203580494826,,
21,0.22569760432081398,13.594832194842835,17.08545278556271,0.05529305856241996,,
22,0.24232044897520713,13.578209350188443,16.24849327990495,0.05797607847666511,,
23,0.2601671962363403,13.56036260292731,15.45026662890206,0.06078928825646293,,
24,0.27734997406550244,13.543179825098147,14.763496016419264,0.06343770436192578,,
25,0.2977755904380301,13.522754208725619,14.033992144452485,0.06651593205527902,,
26,0.3197047486453908,13.500825050518259,13.338248289848613,0.06974352653022431,,
27,0.3432479553190217,13.477281843844628,12.674702104803705,0.07312773560520312,,
28,0.3685237986994882,13.452006000464161,12.041863543925086,0.07667615878911731,,
29,0.3928584464329656,13.427671352730684,11.497387954803507,0.08001672058325109,,
30,0.4217845366394565,13.398745262524193,10.919033198155363,0.08389942232519026,28.205480026920867,0.07364173321240558
31,0.4528384166734556,13.367691382490193,10.367443572408746,0.08797052684978504,28.657662766476165,0.07726054188423107
32,0.48617612343955924,13.33435367572409,9.841380439471834,0.09223917614394847,34.53282540713825,0.1352159225326804
33,0.5182708119307342,13.302258987232916,9.388771271940549,0.09625777426642748,43.61629743341747,0.27247994667628495
34,0.5564188833159369,13.264110915847713,8.907999185598532,0.1009285508878038,48.34342806744192,0.37115958300913193
35,0.5973702376945801,13.22315956146907,8.449476294368743,0.10582597054568338,50.89120890725868,0.4331461708155533
36,0.6413297674084788,13.17920003175517,8.012172948865935,0.11096103078290759,53.415940990661895,0.5010619124110969
37,0.6885170787669509,13.132012720396698,7.5951071498715965,0.11634526278301709,55.30636228254909,0.5564514876854391
38,0.7339395587876801,13.086590240375969,7.23627606616736,0.1214140944240273,57.64729798640476,0.6304604123788051
39,0.787921774026992,13.032608025136657,6.855117262650799,0.12730554701643482,70.0212644584344,1.1304647535178027
40,0.8458612530579325,12.974668546105717,6.491597745667503,0.1334828742744916,77.15819397207663,1.5136380102037417
41,0.9080449696290195,12.91248482953463,6.144901203416368,0.13995994787469493,80.6161395845924,1.7279438411695198
42,0.9678924784861273,12.852637320677522,5.846613747881867,0.14605760406878063,76.84329507870538,1.4977575104831506
43,1.0390037466243902,12.78152605253926,5.5297658079491026,0.15314484920464314,89.88446615536304,2.399390824199585
44,1.115309430693374,12.705220368470275,5.227580973127337,0.1605759932010687,94.80769811556793,2.8193890564698854
45,1.197181863756146,12.623347935407503,4.939380663491011,0.1683677232791182,113.42083596894747,4.833777499300937
46,1.2850184010331818,12.535511398130467,4.664517702470927,0.1765375363843931,129.14797048468813,7.148313895252684
47,1.3695201902147043,12.451009608948945,4.428033736605549,0.18422877390319162,138.76812453113052,8.881971937058264
48,1.469878490582777,12.350651308580872,4.176834914726472,0.19316822276007173,147.83294262111372,10.76185511543597
49,1.577506484958674,12.243023314204976,3.9372610847275835,0.20254144612552438,166.10942461048413,15.304712343659219
50,1.6929110344480442,12.127618764715605,3.7087742646422353,0.21236949231329916,171.78101280682978,16.973822521779923
51,1.816629764214748,12.003900034948902,3.4908613692606485,0.22267443097773348,180.98821317409016,19.916351766418845
52,1.949231863937383,11.871297935226266,3.2830330579565246,0.23347940267290615,184.9723773419866,21.339036272535004
53,2.0913186379114133,11.729211161252236,3.084822635834013,0.24480867081657914,187.52696891616927,22.330614112199928
54,2.243523728229641,11.577006070934008,2.8957850057274284,0.2566876761756205,187.23281555265845,22.333579128851348
55,2.38970908764874,11.43082071151491,2.7331426173187188,0.2678708269437177,187.4859835768372,22.537767033987173
56,2.545136331266385,11.275393467897265,2.5772902716018935,0.27954119573086944,195.03040828763937,25.512024911962396
57,2.6914781240414243,11.129051675122225,2.4442257045541464,0.29034101878914165,198.48720503535898,27.047129565325218
58,2.845920886458248,10.974608912705401,2.3161107439568918,0.30155808331261197,201.88296353094026,28.63736636029666
59,2.988012615874371,10.832517183289278,2.207925472383703,0.3117279402557108,210.63443287048295,32.72499713782313
60,3.1368772698499368,10.683652529313713,2.1032696525957713,0.32224076923625916,213.60118656150004,34.35257597449468
61,3.29278934427696,10.52774045488669,2.0020281392528516,0.3331081367707903,214.84701774527372,35.21784860791931
62,3.4560273421127374,10.364502457050913,1.9040895435327672,0.344341999449342,218.83312783727467,37.51430255360214
63,3.6019897617620327,10.218540037401617,1.822689252620354,0.3542720825792927,219.53594725058463,38.159356209421574
64,3.7537195774394347,10.066810221724214,1.7435705743308647,0.3644885279628326,220.4971677947048,38.97846633395527
65,3.911395417791096,9.909134381372553,1.6666695561144653,0.3749995936718436,221.238509908932,39.71805997490795
66,4.047462659359281,9.773067139804368,1.6042345220731056,0.3839899945738943,221.6921191098012,40.27566041534095
67,4.216501575170758,9.604028223992891,1.5312390291576135,0.395063440663206,221.56305047145403,40.61238892718334
68,4.362284942489244,9.458244856674405,1.4719748452657977,0.40453486082803386,222.53143905238872,41.51697652748382
69,4.51264561130662,9.30788418785703,1.4140982203725216,0.41423335287728646,228.372311651909,45.29813687956508
70,4.667681813768118,9.152847985395532,1.3575766674029972,0.42416436072959446,230.51988626451677,47.06610299254372
71,4.827489579195381,8.993040219968268,1.3023784599059653,0.4343334588184266,233.336375036545,49.3384287106493
72,4.992162284945694,8.828367514217955,1.2484726142451428,0.4447463552211064,234.72358805073986,50.80191139557799
73,5.127463975584815,8.693065823578834,1.2062580807810006,0.45325613023749545,235.2321888469253,51.63176143804412
74,5.301118608921481,8.519411190242169,1.1546027123602154,0.46412268687092223,236.360846815409,53.05097292038444
