SnapshotNumber,Time_Gyr,LookbackTime_Gyr,Redshift,ExpansionFactor,VirialRadius_ckpc,VirialMass_1E10Msun,MainHaloIdx,MainSubhaloIdx,VirialRadius00_ckpc,VirialMass00_1E10Msun,ReferencePotential_(km/s)^2
0,0.0507387,13.769791099999999,47.91837879999999,0.0204422,,,0,0,,,
1,0.06647130000000001,13.7540585,39.8577842,0.024475099999999996,,,0,0,,,
2,0.0828555,13.737674300000002,34.276242700000005,0.028347700000000003,,,0,0,,,
3,0.1010993,13.7194305,29.8932287,0.0323696,,,0,0,,,
4,0.11990230000000002,13.7006275,26.572463199999998,0.0362681,,,0,0,,,
5,0.1401951,13.680334699999998,23.8429678,0.040252800000000005,,,0,0,,,
6,0.16160839999999999,13.6589214,21.5968047,0.044254,,,0,0,,,
7,0.1836627,13.6368671,19.7494329,0.0481941,,,0,0,,,
8,0.20724810000000002,13.613281699999998,18.1435842,0.05223680000000001,,,0,0,,,
9,0.2305611,13.5899687,16.8301879,0.0560847,,,0,0,,,
10,0.25649570000000005,13.564034099999999,15.6069006,0.060215899999999996,,,0,0,,,
11,0.2813199,13.539209900000001,14.6148169,0.0640417,,,0,0,,,
12,0.3085455,13.5119843,13.6819996,0.06811060000000001,,,0,0,,,
13,0.3360086,13.4845212,12.8704752,0.0720956,,,0,0,,,
14,0.363324,13.457205800000002,12.1660438,0.07595299999999999,,,0,0,,,
15,0.39285840000000005,13.427671400000001,11.497388,0.0800167,,,0,0,,,
16,0.4217845,13.398745300000002,10.9190332,0.08389939999999999,,,0,0,,,
17,0.4528384,13.367691399999998,10.3674436,0.08797050000000001,,,0,0,,,
18,0.4827349,13.337794899999999,9.8928722,0.09180319999999999,,,0,0,,,
19,0.5146027,13.305927100000002,9.4381133,0.09580280000000001,,,0,0,,,
20,0.5485713000000001,13.271958499999998,9.0023399,0.09997660000000001,,,0,0,,,
21,0.5806405,13.239889300000002,8.6302825,0.1038391,,,0,0,,,
22,0.6145811,13.205948699999999,8.2720646,0.10785080000000001,,,0,0,,,
23,0.6458995,13.174630300000002,7.9695715,0.11148800000000002,,,0,0,,,
24,0.6836465,13.136883300000001,7.6359300999999995,0.1157953,,,0,0,,,
25,0.718476,13.1020538,7.354190299999999,0.11970039999999998,,,0,0,,,
26,0.7550751,13.065454699999998,7.0816419999999995,0.1237372,,,0,0,,,
27,0.7879218000000001,13.032608,6.8551173,0.12730550000000002,,,0,0,,,
28,0.8280472,12.9924826,6.5988508,0.1315988,,,0,0,,,
29,0.8640572,12.9564726,6.3858585,0.13539389999999998,,,0,0,,,
30,0.9016270000000001,12.9189028,6.1788362999999995,0.13929829999999999,87.46577590000001,2.2064512,0,0,87.46577590000001,2.2064512,396727.5625
31,0.9408235999999999,12.8797062,5.9776168,0.1433154,89.2764198,2.347652,0,0,89.2764198,2.347652,393030.46875
32,0.9817162,12.8388136,5.7820374,0.1474483,94.26255350000001,2.7652229999999998,0,0,94.26255350000001,2.7652229999999998,391896.90625
33,1.0171413,12.803388499999999,5.6232488,0.1509833,99.3680317,3.2408656000000002,0,0,99.3680317,3.2408656000000002,392447.125
34,1.0613336000000002,12.7591962,5.437602200000001,0.15533729999999998,118.38263459999999,5.4838468,0,0,118.38263459999999,5.4838468,391451.96875
35,1.0996152,12.720914599999999,5.2868779,0.1590615,122.8545881,6.1323208,0,0,122.8545881,6.1323208,390024.875
36,1.1392691000000001,12.6812607,5.139682499999999,0.1628749,128.8488479,7.0801283999999995,0,0,128.8488479,7.0801283999999995,389511.5
37,1.188733,12.6317968,4.9675901,0.1675718,137.31432130000002,8.576089699999999,0,0,137.31432130000002,8.576089699999999,382040.9375
38,1.2228878,12.597642,4.85555,0.17077820000000002,141.9279425,9.475484699999999,0,0,141.9279425,9.475484699999999,382769.15625
39,1.2669540000000001,12.5535758,4.7184534000000005,0.1748725,151.668359,11.573863699999999,0,0,151.668359,11.573863699999999,387921.1875
40,1.3125950000000002,12.507934800000001,4.5845666,0.1790649,158.99827030000003,13.3453078,0,0,158.99827030000003,13.3453078,381904.625
41,1.3598656,12.4606642,4.4538145,0.1833579,161.8225978,14.081484699999997,0,0,161.8225978,14.081484699999997,371826.75
42,1.3988933000000001,12.4216365,4.3514204,0.18686629999999999,165.55646330000002,15.092326000000002,0,0,165.55646330000002,15.092326000000002,380709.09375
43,1.4492409,12.371288900000001,4.226127,0.1913463,168.8043866,16.0141731,0,0,168.8043866,16.0141731,384854.9375
44,1.4908066999999998,12.3297231,4.1280077,0.1950075,170.6966493,16.574498000000002,0,0,170.6966493,16.574498000000002,384674.84375
45,1.5335511999999998,12.2869786,4.0317306,0.1987388,171.2911457,16.764143599999997,0,0,171.2911457,16.764143599999997,386715.53125
46,1.5775065000000001,12.2430233,3.9372611000000006,0.2025414,171.3070868,16.7855222,0,0,171.3070868,16.7855222,385014.125
47,1.6227056999999998,12.1978241,3.8445652000000003,0.2064169,172.1704615,17.0601626,0,0,172.1704615,17.0601626,386076.96875
48,1.6691826,12.1513472,3.7536096,0.21036649999999998,173.9338865,17.6099164,0,0,173.9338865,17.6099164,381944.96875
