SnapshotNumber,Time_Gyr,LookbackTime_Gyr,Redshift,ExpansionFactor,VirialRadius_ckpc,VirialMass_1E10Msun,MainHaloIdx,MainSubhaloIdx,VirialRadius00_ckpc,VirialMass00_1E10Msun,ReferencePotential_(km/s)^2
0,0.0507387,13.7697911,47.9183788,0.0204422,,,0,0,,,
1,0.0664713,13.7540585,39.8577842,0.0244751,,,0,0,,,
2,0.0828555,13.7376743,34.2762427,0.0283477,,,0,0,,,
3,0.1010993,13.7194305,29.8932287,0.0323696,,,0,0,,,
4,0.1199023,13.7006275,26.5724632,0.0362681,,,0,0,,,
5,0.1401951,13.6803347,23.8429678,0.0402528,,,0,0,,,
6,0.1616084,13.6589214,21.5968047,0.044254,,,0,0,,,
7,0.1836627,13.6368671,19.7494329,0.0481941,,,0,0,,,
8,0.2072481,13.6132817,18.1435842,0.0522368,,,0,0,,,
9,0.2305611,13.5899687,16.8301879,0.0560847,,,0,0,,,
10,0.2564957,13.5640341,15.6069006,0.0602159,,,0,0,,,
11,0.2813199,13.5392099,14.6148169,0.0640417,,,0,0,,,
12,0.3085455,13.5119843,13.6819996,0.0681106,,,0,0,,,
13,0.3360086,13.4845212,12.8704752,0.0720956,,,0,0,,,
14,0.363324,13.4572058,12.1660438,0.075953,,,0,0,,,
15,0.3928584,13.4276714,11.497388,0.0800167,,,0,0,,,
16,0.4217845,13.3987453,10.9190332,0.0838994,,,0,0,,,
17,0.4528384,13.3676914,10.3674436,0.0879705,,,0,0,,,
18,0.4827349,13.3377949,9.8928722,0.0918032,,,0,0,,,
19,0.5146027,13.3059271,9.4381133,0.0958028,,,0,0,,,
20,0.5485713,13.2719585,9.0023399,0.0999766,,,0,0,,,
21,0.5806405,13.2398893,8.6302825,0.1038391,,,0,0,,,
22,0.6145811,13.2059487,8.2720646,0.1078508,,,0,0,,,
23,0.6458995,13.1746303,7.9695715,0.111488,,,0,0,,,
24,0.6836465,13.1368833,7.6359301,0.1157953,,,0,0,,,
25,0.718476,13.1020538,7.3541903,0.1197004,,,0,0,,,
26,0.7550751,13.0654547,7.081642,0.1237372,,,0,0,,,
27,0.7879218,13.032608,6.8551173,0.1273055,,,0,0,,,
28,0.8280472,12.9924826,6.5988508,0.1315988,,,0,0,,,
29,0.8640572,12.9564726,6.3858585,0.1353939,,,0,0,,,
30,0.901627,12.9189028,6.1788363,0.1392983,95.091,2.8354579,0,0,95.091,2.8354579,7235.203
31,0.9408236,12.8797062,5.9776168,0.1433154,96.732,2.986436,0,0,96.732,2.986436,7075.469
32,0.9817162,12.8388136,5.7820374,0.1474483,97.389,3.0494137,0,0,97.389,3.0494137,6439.708
33,1.0171413,12.8033885,5.6232488,0.1509833,97.455,3.0571253,0,0,97.455,3.0571253,3090.716
34,1.0613336,12.7591962,5.4376022,0.1553373,97.773,3.0892719,0,0,97.773,3.0892719,593.642
35,1.0996152,12.7209146,5.2868779,0.1590615,94.803,2.8180017,0,0,94.803,2.8180017,4508.117
36,1.1392691,12.6812607,5.1396825,0.1628749,98.465,3.1595239,0,0,98.465,3.1595239,-1627.231
37,1.188733,12.6317968,4.9675901,0.1675718,103.376,3.6591296,0,0,103.376,3.6591296,2521.007
38,1.2228878,12.597642,4.85555,0.1707782,106.605,4.0153256,0,0,106.605,4.0153256,2726.62
39,1.266954,12.5535758,4.7184534,0.1748725,109.693,4.3784195,0,0,109.693,4.3784195,1082.093
40,1.312595,12.5079348,4.5845666,0.1790649,102.639,3.5899301,0,0,102.639,3.5899301,1084.396
41,1.3598656,12.4606642,4.4538145,0.1833579,103.638,3.6993578,0,0,103.638,3.6993578,4208.37
42,1.3988933,12.4216365,4.3514204,0.1868663,104.726,3.8201179,0,0,104.726,3.8201179,655.215
43,1.4492409,12.3712889,4.226127,0.1913463,107.87,4.1792726,0,0,107.87,4.1792726,927.227
44,1.4908067,12.3297231,4.1280077,0.1950075,109.403,4.3633981,0,0,109.403,4.3633981,627.961
45,1.5335512,12.2869786,4.0317306,0.1987388,111.054,4.5688163,0,0,111.054,4.5688163,708.602
46,1.5775065,12.2430233,3.9372611,0.2025414,112.799,4.7919401,0,0,112.799,4.7919401,1769.768
47,1.6227057,12.1978241,3.8445652,0.2064169,114.421,5.007244,0,0,114.421,5.007244,1138.036
48,1.6691826,12.1513472,3.7536096,0.2103665,129.052,7.1918386,0,0,129.052,7.1918386,-2462.719
49,1.7169719,12.1035579,3.6643618,0.2143916,132.659,7.8220334,0,0,132.659,7.8220334,-5938.13
50,1.7661089,12.0544209,3.5767895,0.2184938,136.072,8.4523619,0,0,136.072,8.4523619,-5085.127
51,1.8166298,12.0039,3.4908614,0.2226744,140.241,9.2655384,0,0,140.241,9.2655384,-3967.655
52,1.8685717,11.9519581,3.4065465,0.2269351,154.624,12.4367419,0,0,154.624,12.4367419,-16916.127
53,1.9084833,11.9120465,3.3443509,0.230184,160.112,13.8244753,0,0,160.112,13.8244753,-28055.02
54,1.9630035,11.8575263,3.2627867,0.2345883,163.976,14.8728106,0,0,163.976,14.8728106,-15113.494
55,2.0190508,11.801479,3.1827539,0.2390769,166.689,15.6474427,0,0,166.689,15.6474427,-10773.021
56,2.0621126,11.7584172,3.123717,0.2424997,170.076,16.6430395,0,0,170.076,16.6430395,-10225.914
57,2.1060731,11.7144567,3.0655133,0.2459714,173.413,17.6663699,0,0,173.413,17.6663699,-5994.491
58,2.1661155,11.6544143,2.9891842,0.2506778,176.132,18.5449577,0,0,176.132,18.5449577,-4211.513
59,2.2122417,11.6082881,2.9328794,0.2542666,177.543,19.023354,0,0,177.543,19.023354,-6213.818
